Bridge 3.1,,,,,,,,,,,,,,,,Bridge 3.2,,,,Bridge 3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridge 3.4,,,,,,,,Bridge 5.1,,,,,,,,,,,,,,,,,Bridge 5.2,,,,,,Bridge 1,,,,,,,,,,,,,,Bridge 2,,,,,,,,,,,,,,,,,,,,,,,Bridge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhang,,,,,,,,,,,,,,,,,,,,,,Mesh sensitivity,,,,,,,,,,,,Spandrel sensitivity,,Plate / NoPlate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1_Experimental,,Bridge_3.1_Coarse,,Bridge_3.1_Multiring,,Bridge_3.1_Zhang,,LimitAnalysis_3.1,,Bridge_3.1_transversalElements,,Bridge_3.1_transversalElements_border,,Bridge_3.1_transversalElements_Unconnected,,Bridge_3.2_Experimental,,Bridge_3.2_Sand,,3.3_Experimental,,3.3_FEM (Zhang),,3.3_Numerical_drucker,,3.3_Numerical_drucker_z,,Model3-3_spandrel (Enrico),,Model3-3_spandrel_ref (Enrico),,Bridge_3.1_Coarse_extended,,3-3_Coarse,,3-3_Fine,,3-3_Fine_3loads,,3-3_Fine_3loads_multiring,,3-3_Fine_3loads_multiring_detached,,3-3_Fine_3loads_detached,,3-3_standard,,3-3_detached(Young/cohesion),,3-3_Numerical_2_Zhang,,3-3_Numerical_2_Zhang_tol_0.001,,3-3_Numerical_2_Zhang_tol_0.0001_fric0.5,,3-3_Numerical_2_Zhang_tol_0.001_plate,,3-3_Numerical_4_Zhang,,3-3_Numerical_4_Zhang_tol_0.001,,3-3_Numerical_4_Zhang_tol_0.0001,,3-3_Numerical_8_Zhang_tol_0.001,,3-3_Numerical_8_Zhang_tol_0.0001,,3-3_Numerical_2_Zhang_tol_0.001_0.174,,3-3_Numerical_2_Zhang_tol_0.001_0.100,,3.3_1_lines,,3.3_2_lines,,3.3_4_lines,,3.3_4_lines_tol_0.001,,3.3_4_lines_tol_0.0001,,3.3_8_lines,,3.3_spandrel_2,,3.3_4_lines_NoPlate,,3.3_4_lines_Plate,,3.3_Histra2026.1,,Bridge_3.4_Experimental,,3-4_Numerical,,3-4_Numerical_new,,Bridge_3.2_extended,,Bridge_5.1_Experimental,,Bridge_5.1_Numerical,,,Bridge_5.1_Masonry_backfill,,Bridge_5.1_Extended,,Bridge_5.1_Load_spandrel,,Bridge_5.1_Masonry_new,,Bridge_5.1_Load_spandrel_new,,LimitAnalysis_5.1,,Bridge_5.2_Experimental,,Bridge_5.2_Numerical_Coarse,,LimitAnalysis_5.2,,Bridge_1_Experimental_Arch,,Bridge_1_Experimental_PierNorth,,Bridge_1_Experimental_PierSouth,,Bridge_1_Numerical_Arch,,Bridge_1_Numerical_PierNorth,,Bridge_1_Zhang,,Bridge_1_Numerical_PierSouth,,Bridge_2_Experimental_Arch,,Bridge_2_Experimental_PierNorth,,Bridge_2_Experimental_PierSouth,,Bridge_2_Numerical_Arch,,,Bridge_2_Numerical_PierNorth,,Bridge_2_Numerical_PierSouth,,Bridge_2_Tubaldi,,Bridge_2_Zizi,,Bridge_2_Zizi_PierNorth,,Bridge_2_Zizi_PierSouth,,LimitAnalysis_2,,Bridge_3_Experimental_Arch,,Bridge_3_Experimental_PierNorth,,Bridge_3_Experimental_PierSouth,,Bridge_3_Numerical_Zizi,,Bridge_3_Numerical_Arch,,Bridge_3_PierCap,,Bridge_3_Backfill,,Bridge_3_Abutment,,Bridge_5.3_Experimental,,,,arch_extrados,,fill_surface,,fill_surface_disp_arch,,,,Bridge_5.1_Numerical_Radial,,Bridge_5.2_Numerical,,,Bridge_3.3_Transversal_displacement,,,,,,,,,Bridge_3.3_Transversal_displacement_strips,,,,,,Bridge_3.4_Transversal_displacement,,,,,,,
x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,z,x,f,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,f,x,y,x,y,x,y,x,y,x,y,x,y,z,x,f,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,,,x,y,x,y,x,y,,,x,y,x,y,,Step,Load,Center,Fill,Spandrel,,,,,Step,Load,Center,Fill,Spandrel,,Step,Load,Center,Fill,Spandrel,,,
0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,400,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,0,0,0.00E+00,0.00E+00,0.00E+00,-6.76E-02,-5.42E-02,-4.69E-02,,0,0,0.00E+00,0.00E+00,0.00E+00,,0,0,0.00E+00,0.00E+00,0.00E+00,,,
0.26,181.67,0.033787,27.80432,0.047203775,41.60559082,0.108191654,100.2493766,10,442,0.008514276,4.837779999,0.004481091,4.837779999,0.081368467,11.70153618,0.081743869,119.2028986,0.047554691,41.05780029,0.107142857,156,0.083018868,100,0.011757267,14.008728,0.0127185,14.008728,0.0533382,36.434875,0.055091,36.52187,0.033787,34.17614333,0.018228,24.88701,0.007711,10.06363,0.023144,29.95535,0.022053187,30.12408257,0.023396957,29.90558243,0.02415509,29.87145996,0.022801207,29.93038177,0.02530333,29.9051342,0.025317553,29.93510056,0.025278334,29.36618996,0.012299237,13.51011181,0.004077256,5.098753929,0.024903566,24.84306717,0.012528672,12.57892704,0.012479671,13.84660816,0.031361196,29.49160004,0.028840872,23.84835434,0.025278987,29.36616516,0.025278987,29.36616516,0.016952223,30.03277206,0.022834367,29.88129997,0.023370725,24.64815903,0.022731336,23.06774139,0.011065514,11.01076031,0.0297158,29.92050171,0.022345386,29.78701019,0.023370725,24.64815903,,,0.013232273,14.09380817,0.367346939,228.0254777,0.01257339,12.39738846,0.012779571,12.72792339,0.047554691,50.46687952,0.041666667,318.783542,0.279846106,0.085137775,207.2074585,0.049223192,59.25134277,0.552241807,206.4916382,0.202875672,154.1373749,0.18357292,192.2828979,0.040497649,39.25983429,20,1915,0.25,202.862254,0.12683557,90.11346436,20,400,0.137931034,199.8106061,-0.053191489,110.6115108,0.026595745,110.6115108,0.021403943,25.67547607,,,0.020683189,25.81987667,,,0.158415842,51.692308,-0.053191489,114.7521866,0.079787234,114.7521866,0.10276875,0.032203929,55.16638184,-0.030413533,55.16638184,0.048212711,55.16638184,0.075757576,50.3875969,0.076452599,50.26595745,0,49.88123515,0,49.88123515,50,320,0.344827586,205.4924242,-0.053191489,110.6115108,0.026595745,110.6115108,0.027027027,50,0.023792167,19.74573135,0.023647077,19.75035858,0.01259848,19.79365349,0.012598829,19.77960777,0.166666667,241.5026834,,,2.1358172,6.1309233,1.9418567,2.5511971,0.6823529,2.5511971,,,0.382029335,228.2559967,0.281668443,137.8743286,,1,14.00879383,-1.28E-02,-6.93E-03,-4.41E-03,-8.05E-02,-6.11E-02,-5.13E-02,,1,14.31044102,1.94E-02,0.00E+00,0.00E+00,,1,12.72792339,1.28E-02,6.75E-03,3.33E-03,,,
0.64,351.67,0.06751,54.8111,0.094344105,81.43557739,0.231839258,199.0024938,,,0.017030779,9.564544678,0.008957619,9.564544678,0.163051009,21.92283821,0.286103542,180.0724638,0.095234609,39.21496582,0.25,248,0.158490566,200,0.023527389,27.1680298,0.0254411,27.1680298,0.1066471,70.924377,0.111042,57.67268,0.06751,67.37197708,0.036415,49.00991,0.015471,19.93716,0.046735,59.9946,0.044121007,59.97728729,0.046756231,59.27053833,0.048398786,59.18405914,0.046037017,59.96239853,0.051083392,59.96095657,0.051106221,60.01846313,0.050803941,57.16542435,0.024292343,25.8736496,0.008174842,10.13876724,0.051240324,50.81311035,0.025155554,24.98746109,0.024743094,26.64177704,0.063093343,58.68187332,0.057525329,46.68149948,0.051153223,59.00035858,0.051153223,59.00035858,0.034255281,60.4274292,0.046091187,59.8897934,0.048144979,50.5029068,0.047084133,48.15671539,0.022094562,21.35876083,0.060158563,60.12824249,0.045167446,59.79027557,0.048144979,50.5029068,,,0.026468173,27.42057991,0.693877551,284.0764331,0.025196425,23.61301231,0.025539612,24.12533188,0.095234609,48.20172882,0.166666667,511.9856887,0.559226959,0.19493931,353.0751953,0.098204762,112.7450562,1.08638918,385.1500854,0.405602448,293.9236755,0.366617431,331.2260742,0.08099198,76.45311737,,,0.604166667,296.2432916,0.253651582,145.3237305,,,1.310344828,336.1742424,-0.053191489,168.1654676,0.053191489,168.1654676,0.043240805,51.84967422,,,0.041823983,52.29216957,,,0.316831683,100.92308,-0.186170213,176.3265306,0.132978723,174.4606414,0.204570122,0.06515804,98.05023193,-0.061657979,98.05023193,0.090413174,98.05023193,0.151515152,100.7751938,0.152905199,101.462766,0,100.5938242,0,100.5938242,,,1.517241379,305.8712121,-0.053191489,168.1654676,0.053191489,168.1654676,0.054054054,100,0.047516907,39.53183746,0.047226589,39.55148697,0.025161906,39.60227966,0.025164116,39.66024399,0.333333333,466.9051878,,,4.2814412,10.247258,3.8413657,4.3103838,1.3666938,4.3103838,,,0.764843426,385.5025024,0.562766858,192.7158813,,2,27.16802216,-2.56E-02,-1.38E-02,-8.68E-03,-9.33E-02,-6.80E-02,-5.55E-02,,2,27.69205856,3.89E-02,0.00E+00,0.00E+00,,2,24.12533188,2.55E-02,1.33E-02,6.48E-03,,,
1.1,398.33,0.101181,81.25034,0.141449287,118.7314072,0.401854714,300.7481297,,,0.025550416,14.22442055,0.013439701,14.22442055,0.244719733,31.06534386,0.408719346,200.3623188,0.142692355,77.215271,0.303571429,308,0.252830189,300,0.035316677,39.7097778,0.038175,39.7097778,0.1598046,100.75539,0.166009,93.60449,0.101181,99.87020958,0.054562,72.74358,0.023234,29.72155,0.070482,89.73093,0.066171538,89.24251556,0.070217,87.43491364,0.072332106,87.438797,0.06943036,89.68624878,0.077005279,89.75241852,0.077022531,89.84792328,0.076514123,87.51081085,0.035827743,37.25923157,0.012287572,15.14133453,0.076015349,74.78502655,0.037854275,37.31539917,0.036572223,38.31650925,0.09526877,83.84339905,0.085623746,68.25237274,0.075988755,82.74090576,0.075988755,82.74090576,0.051727173,90.56290436,0.06950448,89.6029892,0.07142924,74.38709259,0.070331327,72.14707947,0.032611559,30.80954552,0.089974033,88.94545746,0.06822974,89.51194763,0.07142924,74.38709259,,,0.039712653,40.29411697,2.387755102,313.3757962,0.037687911,33.41685867,0.03830226,34.24824524,0.142692355,94.91043727,0.354166667,679.4275492,0.837670814,0.312206923,459.5812988,0.147335976,168.6851807,1.5959515,524.5281982,0.608254457,402.2056274,0.549341261,443.0335693,0.121488127,112.5858459,,,1.458333333,354.2039356,0.379955978,187.4251709,,,3.034482759,454.5454545,-0.079787234,213.1294964,0.159574468,212.2302158,0.065116466,77.78284454,,,0.06298346,78.24182701,,,0.396039604,151.38462,-0.265957447,208.9795918,0.319148936,207.1137026,0.304835059,0.099684663,131.1426392,-0.091800147,131.1426392,0.136622425,131.1426392,0.303030303,151.1627907,0.152905199,149.8670213,-0.175438596,151.3064133,0,151.3064133,,,2.344827586,326.7045455,-0.079787234,213.1294964,0.159574468,212.2302158,0.108108108,150,0.071238661,59.20690918,0.070809307,59.26228333,0.037723999,59.09730148,0.037743066,59.30381775,0.5625,666.5474061,,,6.4481036,11.694655,5.7139858,6.0008402,2.0984099,6.0008402,,,1.144495909,495.6116943,0.843985472,235.6283569,,3,39.70970154,-3.85E-02,-2.06E-02,-1.28E-02,-1.06E-01,-7.48E-02,-5.97E-02,,3,40.21822357,5.83E-02,0.00E+00,0.00E+00,,3,34.24824524,3.83E-02,1.95E-02,9.41E-03,,,
1.31,438.33,0.135369,106.2017,0.188457401,149.6542358,0.602782071,357.605985,,,0.034072895,18.83560753,0.017927297,18.83560753,0.326473411,39.36016846,0.53133515,220.6521739,0.19020951,114.9795532,0.571428571,384,0.362264151,400,0.047132319,51.9714355,0.050927,51.9714355,0.2129805,130.50032,0.220921,127.019,0.135369,130.5395896,0.07275,96.14148,0.030992,39.42994,0.094064,117.632,0.088200395,116.8519287,0.093596667,114.2401123,0.096462878,114.3832169,0.09265339,117.9712982,0.102775659,118.1162949,0.10271238,118.302536,0.102472397,114.5443878,0.046901216,47.9067688,0.016411199,20.11650085,0.101366692,98.8193512,0.050718376,49.20471954,0.047925212,49.23574829,0.126536281,107.7090073,0.113640323,88.83403015,0.100409889,105.4717484,0.100448357,105.4487228,0.069067952,119.0015564,0.092735791,117.8970566,0.095288437,98.3781662,0.092031209,89.01961517,0.042478372,39.43090057,0.120437093,118.2143173,0.091102796,117.7480011,0.095288437,98.3781662,,,0.052972544,52.84788513,5.734693878,318.4713376,0.050136816,42.3653183,0.051086499,43.47866821,0.19020951,141.3290341,0.75,904.8300537,1.1156986,0.4323581,564.8522949,0.196278617,200.8930054,2.075559925,643.503418,0.810788595,481.134613,0.730451022,516.3357544,0.162068871,139.2746582,,,3.708333333,431.4847943,0.505784701,224.0645142,,,21.37931034,390.1515152,-0.106382979,270.6834532,0.345744681,293.1654676,0.086940723,102.9856491,,,0.084043802,103.3414125,,,1.02970297,200.61538,-0.372340426,224.8396501,0.531914894,228.5714286,0.40387391,0.138026239,155.6411133,-0.118953162,155.6411133,0.191394204,155.6411133,0.606060606,200.7751938,0.305810398,200.1329787,-0.175438596,200.3562945,0.087719298,200.3562945,,,31.37931034,250.9469697,-0.106382979,270.6834532,0.345744681,293.1654676,0.162162162,200,0.09497162,78.48674011,0.094404844,78.55870056,0.050301122,77.75021362,0.050334875,78.16973877,0.8125,817.8890877,,,8.6103342,12.970695,7.5661093,7.61165,2.8809032,7.61165,,,1.517645898,587.5471191,1.125628944,242.1752319,,4,51.97142792,-5.13E-02,-2.74E-02,-1.69E-02,-1.19E-01,-8.16E-02,-6.37E-02,,4,51.90916443,7.78E-02,0.00E+00,0.00E+00,,4,43.47866821,5.11E-02,2.56E-02,1.23E-02,,,
2.595238095,498.3333333,0.169917,130.0487,0.235489977,177.4881287,0.834621329,400.9975062,,,0.042598193,23.40689087,0.022416199,23.40689087,0.408314139,46.91763306,0.735694823,240.942029,0.237512199,140.9534302,0.589285714,422,0.520754717,500,0.058958082,64.059143,0.063684,64.059143,0.2661777,157.32581,0.275773,151.2771,0.169917,159.8515271,0.091042,118.8901,0.038748,49.07723,0.118165,146.3438,0.110216744,144.5756989,0.116958625,139.6143799,0.120602999,140.0119171,0.11637959,146.386734,0.129904001,144.8347015,0.128983505,146.8218842,0.129169275,139.723114,0.057894118,58.3526535,0.020545182,25.0668602,0.127141087,123.0483627,0.063638079,60.9054184,0.058970138,59.72462845,0.158111055,129.8672485,0.142573321,108.9029999,0.124556653,126.5296173,0.124725644,126.4307327,0.087023014,148.1751709,0.116465802,146.3168488,0.119491182,122.5910034,0.112103728,105.7909241,0.051831328,47.49186707,0.151313434,147.1161804,0.114567578,146.1442413,0.119491182,122.5910034,,,0.066236797,65.23477173,13.69387755,281.5286624,0.062843828,50.99183655,0.063844032,52.09547043,0.237512199,173.255258,1.375,1149.552773,1.392449252,0.5442944,657.0505981,0.245472826,259.9312744,2.467470709,704.2247925,1.012501074,588.7401123,0.912307645,621.1729736,0.202843396,154.1366577,,,6.291666667,466.9051878,0.632151728,243.3359375,,,,,-0.239361702,337.2302158,0.585106383,362.4100719,0.108587294,127.1064072,,,0.104963849,127.2826681,,,1.108910891,209.23077,-0.585106383,228.5714286,0.771276596,250.0291545,0.501327388,0.172931146,172.9685059,-0.148386259,172.9685059,0.250314705,172.9685059,1.515151515,251.1627907,0.840978593,249.4680851,-0.219298246,251.0688836,0.394736842,249.4061758,,,,,-0.292553191,321.942446,0.638297872,329.1366906,0.27027027,250,0.118723648,97.29556274,0.118015203,97.37701416,0.062837302,95.40896606,0.062886254,96.05157471,1.291666667,1004.651163,,,10.774693,13.848347,9.4049238,9.1154041,3.7193885,9.1154041,,,1.890989952,654.9091187,1.408871147,266.9822998,,5,64.05909729,-6.42E-02,-3.43E-02,-2.09E-02,-1.32E-01,-8.85E-02,-6.78E-02,,5,61.77013016,9.72E-02,0.00E+00,0.00E+00,,5,52.09547043,6.38E-02,3.18E-02,1.52E-02,,,
3.452380952,518.3333333,0.204792,149.1049,0.282433932,200.3329926,1.035548686,429.4264339,,,0.05112595,27.93992043,0.026905554,27.93992043,0.489892904,53.93214417,1.001362398,261.2318841,0.285026443,177.3139954,0.767857143,454,0.739622642,600,0.070754681,76.034729,0.076416,76.034729,0.319509,182.34941,0.330733,178.5009,0.204792,183.2747729,0.109442,141.7655,0.046501,58.67729,0.143191,172.5439,0.132215355,168.9279938,0.140312695,161.4537964,0.144696052,162.0500793,0.141023556,172.7872314,0.158086768,170.0187836,0.156248498,173.2962036,0.155833506,163.6880035,0.068918343,68.79369354,0.024686147,29.99372864,0.153298257,147.0117493,0.076544777,72.39657593,0.070029018,70.15619659,0.189249549,150.6003876,0.172178785,128.585083,0.148578503,146.6949768,0.149122017,146.3775024,0.106728839,173.2376556,0.141120167,172.7330017,0.143998011,146.5725098,0.131874622,121.2695923,0.060870178,55.23412323,0.183727985,174.1467743,0.138411371,174.1831055,0.143998011,146.5725098,,,0.079477577,77.38220215,,,0.076005032,59.5248909,0.076575947,60.37473297,0.285026443,217.9484527,1.729166667,1281.57424,1.66731386,0.648672203,728.9577026,0.294612795,294.5828857,2.876481507,791.1261597,1.214866177,672.1202393,1.091134851,633.1933594,0.243303512,194.7492981,,,9.1875,489.4454383,0.760184543,265.0705566,,,,,-0.425531915,388.4892086,0.930851064,423.5611511,0.129739899,147.8480072,,,0.125863566,148.9243879,,,2.455445545,251.07692,-0.611702128,250.0291545,1.063829787,267.755102,0.597663569,0.210193625,186.2253418,-0.175749724,186.2253418,0.313930818,186.2253418,2.954545455,288.372093,1.29969419,244.8138298,-0.438596491,303.4441805,0.701754386,245.2494062,,,,,-0.478723404,330.9352518,3.670212766,320.1438849,0.324324324,300,0.141198194,114.1883163,0.140574819,114.5521927,0.075047174,110.8802567,0.075287055,112.2487946,3.3125,856.529517,,,12.936017,14.46946,11.226057,10.450418,4.6456093,10.450418,,,2.264660085,707.6691284,1.691460027,303.7800293,,6,76.03472137,-7.71E-02,-4.11E-02,-2.50E-02,-1.45E-01,-9.53E-02,-7.18E-02,,6,70.32169342,1.17E-01,0.00E+00,0.00E+00,,6,60.37473297,7.66E-02,3.79E-02,1.81E-02,,,
5.023809524,538.3333333,0.239198,168.8437,0.329316594,222.0546265,1.360123648,451.8703242,,,0.05965514,32.43753433,0.031399068,32.43753433,0.571217504,60.5333786,1.226158038,281.5217391,0.331711693,177.003479,0.946428571,528,0.996226415,650,0.082539103,87.7870483,0.089136,87.7870483,0.3731079,204.89624,0.385811,201.7797,0.239198,207.5370479,0.127915,161.965,0.054258,68.23523,0.168591,198.0134,0.154210691,193.8257446,0.163654244,181.9074097,0.168750441,182.4365082,0.166014623,198.1329803,0.187091529,193.7923279,0.184009841,198.6914978,0.182475618,187.4095154,0.080038626,79.20909119,0.028832228,34.89852905,0.180715651,169.3789978,0.08936791,83.19456482,0.081171784,80.55257416,0.219981113,170.901825,0.201971125,147.9703979,0.172687302,166.4723053,0.174008514,166.0037842,0.126784056,198.6617889,0.166138372,198.1028748,0.169522056,169.0235901,0.151688,136.1431122,0.069672285,62.75271606,0.216946675,200.1198273,0.163493998,200.0591431,0.169522056,169.0235901,,,0.092699527,89.31331635,,,0.089722016,67.96905518,0.089294284,68.21013641,0.331711693,217.5667763,2.229166667,1394.275492,1.941256924,0.762585003,760.3148193,0.343635492,329.1447144,3.28677916,881.8284912,1.416835934,729.4174805,1.2732303,732.0093994,0.283839589,208.3045349,,,13.70833333,502.3255814,0.889492105,278.7808228,,,,,-0.611702128,457.7338129,1.515957447,455.0359712,0.150546926,166.1819,,,0.146291084,167.764482,,,3.722772277,269.53846,-0.877659574,265.8892128,2.5,292.0116618,0.694720769,0.251821124,200.3922119,-0.201585238,200.3922119,0.382138992,200.3922119,3.712121212,290.6976744,2.370030581,245.7446809,-0.789473684,290.1425178,1.315789474,245.2494062,,,,,-1.382978723,316.5467626,10.45212766,297.6618705,0.486486486,350,0.163589531,130.8187408,0.162825658,131.1772156,0.086649277,123.6604691,0.08696095,125.5257721,3.854166667,943.470483,,,15.09023,14.898311,13.022613,11.62675,5.6821406,11.62675,,,2.637234516,758.2695313,1.973856473,316.3018799,,7,87.7870636,-8.99E-02,-4.78E-02,-2.90E-02,-1.58E-01,-1.02E-01,-7.58E-02,,7,78.34431458,1.36E-01,0.00E+00,0.00E+00,,7,68.21013641,8.93E-02,4.40E-02,2.11E-02,,,
